Mernissi;Oussama;oussama.mernissi@prof.ueuromed.org;oussama.mernissi;9QYftMS1;prof;AI, CYBER
Bennis;Mehdi;m.bennis@prof.ueuromed.org;m.bennis;xU8MDlmX;prof;AI, CYBER
Kabbaj;Rania;rania.kabbaj@prof.ueuromed.org;rania.kabbaj;llJsd9eS;prof;ROBO, AI
Berrada;Sarah;sarah.berrada@prof.ueuromed.org;sarah.berrada;0RNvFHnU;prof;ROBO, AI
Raiss;Brahim;brahim.raiss@prof.ueuromed.org;brahim.raiss;6VjXZT93;prof;ROBO, CYBER
Talbi;Noura;noura.talbi@prof.ueuromed.org;noura.talbi;GLEfElNN;prof;BIGDATA, ROBO
Guedira;Anas;anas.guedira@prof.ueuromed.org;anas.guedira;oTIA4k5f;prof;BIGDATA, CYBER
Alami;Reda;reda.alami@prof.ueuromed.org;reda.alami;okSUjwMI;prof;ROBO, BIGDATA
Chraibi;Aya;aya.chraibi@prof.ueuromed.org;aya.chraibi;QMn5TiPX;prof;AI, CYBER
Mansouri;Zineb;zineb.mansouri@prof.ueuromed.org;zineb.mansouri;lDsKbIqY;prof;CYBER, AI
Chraibi;Mehdi;m.chraibi@prof.ueuromed.org;m.chraibi;AFBvuK8w;prof;FULL, BIGDATA
Lahlou;Najat;n.lahlou@prof.ueuromed.org;n.lahlou;0mPQPoOH;prof;FULL, ROBO
Fassi;Ali;a.fassi@prof.ueuromed.org;a.fassi;pmzkQYS0;prof;AI, BIGDATA
Jettou;Oussama;oussama.jettou@prof.ueuromed.org;oussama.jettou;vOBpmPcQ;prof;BIGDATA, ROBO
El Amrani;Youssef;youssef.elamrani@prof.ueuromed.org;youssef.elamrani;Bl3syTNb;prof;FULL, AI
Berrada;Omar;o.berrada@prof.ueuromed.org;o.berrada;B77siU6s;prof;ROBO, FULL
Bennis;Salma;s.bennis@prof.ueuromed.org;s.bennis;232RpRNy;prof;CYBER, ROBO
Slaoui;Sarah;sarah.slaoui@prof.ueuromed.org;sarah.slaoui;Iywm0GxU;prof;BIGDATA, AI
Chaoui;Brahim;brahim.chaoui@prof.ueuromed.org;brahim.chaoui;3SLAhd4L;prof;FULL, CYBER
Berrada;Asmaa;asmaa.berrada@prof.ueuromed.org;asmaa.berrada;RbVuRTIT;prof;CYBER, ROBO
Daoudi;Rania;rania.daoudi@prof.ueuromed.org;rania.daoudi;0zZmfgRj;prof;CYBER, FULL
Lahlou;Ali;ali.lahlou@prof.ueuromed.org;ali.lahlou;kldI1VXZ;prof;ROBO, CYBER
Raiss;Anas;a.raiss@prof.ueuromed.org;a.raiss;YWOpZeBz;prof;ROBO, AI
Jettou;Ismail;ismail.jettou@prof.ueuromed.org;ismail.jettou;MLaSfhui;prof;CYBER, AI
Chraibi;Manal;chraibi.manal@prof.ueuromed.org;chraibi.manal;PCib8fPB;prof;FULL, BIGDATA
